easting,northing,formation_pressure
502345,4005678,8250
504821,4007234,8420
507156,4009812,8380
509782,4011456,8510
512034,4013789,8650
503567,4006123,8310
506234,4008567,8465
508945,4010234,8525
511678,4012890,8595
514123,4015234,8720
501890,4006789,8275
505123,4008901,8445
508456,4011123,8535
510789,4013456,8615
513234,4015789,8685
503901,4007345,8340
506789,4009678,8490
509234,4012012,8560
511890,4014345,8640
514567,4016678,8730
502678,4006456,8295
505901,4008789,8455
508234,4011456,8545
510567,4013789,8625
513012,4016123,8705
504234,4007890,8365
507123,4010123,8500
509456,4012456,8570
511789,4014789,8650
514234,4017123,8740
