x,y,porosity,sw
250,450,0.18,0.35
1200,890,0.22,0.28
2340,1560,0.19,0.31
3450,2230,0.24,0.25
4120,3340,0.21,0.29
780,1890,0.20,0.32
1890,2670,0.23,0.27
2980,3450,0.18,0.34
3670,4230,0.25,0.24
4560,890,0.22,0.28
560,2340,0.19,0.33
1450,3120,0.21,0.30
2670,3890,0.24,0.26
3340,4560,0.20,0.31
4230,1670,0.23,0.27
890,3450,0.18,0.35
1670,4120,0.22,0.29
2890,670,0.25,0.24
3560,1450,0.19,0.32
4450,2230,0.21,0.30
1120,1230,0.23,0.28
2230,2010,0.20,0.31
3120,2780,0.24,0.26
4010,3560,0.18,0.34
670,4340,0.22,0.29
1780,1670,0.19,0.33
2670,2450,0.25,0.25
3890,3230,0.21,0.30
4670,4010,0.23,0.28
1340,2890,0.20,0.32
