x,y,value
10.5,15.2,45.3
23.8,42.1,52.7
45.2,28.9,38.9
67.3,55.6,61.2
82.1,71.4,55.8
15.9,68.3,48.2
38.7,83.5,43.6
52.4,12.7,49.1
74.6,38.2,57.4
91.3,89.7,51.3
12.3,45.8,46.8
34.5,67.2,54.2
56.8,23.4,41.7
78.9,54.3,59.3
95.2,76.5,52.9
18.7,32.6,47.5
41.2,58.9,53.8
63.4,85.1,44.9
85.6,19.8,48.7
7.8,91.2,50.6
28.4,14.5,42.3
49.6,39.7,56.1
71.8,62.8,58.9
93.5,87.3,49.8
25.3,51.4,55.4
46.9,74.6,46.3
68.1,26.9,44.1
89.7,49.5,60.8
14.6,72.1,51.7
36.2,95.4,45.2
57.9,18.3,43.8
79.4,41.6,57.6
96.8,64.9,54.1
21.5,88.7,48.9
43.1,11.2,41.2
64.7,34.5,55.9
86.3,57.8,59.7
8.2,80.3,47.1
29.8,6.9,40.5
51.4,29.6,53.2
73.6,52.7,61.8
94.9,75.8,56.3
16.4,98.1,46.7
37.9,21.4,44.6
59.1,44.8,58.4
80.7,68.2,52.5
2.5,91.6,49.3
24.1,13.8,42.9
45.7,36.9,54.7
67.2,60.1,60.2
